الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
إدارة المشاريع	项目管理	project management	gestion de projet	Руководство проектами	direccion de proyectos
أبحاث متعددة التخصصات	多学科研究	interdisciplinary research	recherche interdisciplinaire	Междисциплинарные исследования	investigacion interdisciplinaria
القوات البحرية	海军	navies	marines de guerre	Военно-морские силы	armadas
الإجهاد	压力（机械）	stress (mechanics)	contrainte mecanique	Механическое напряжение	esfuerzo (mecanica)
النظم المفتوحة	开放系统	open systems	systemes ouverts	Открытые системы	sistemas abiertos
تجارة الحراجة	林业贸易	forestry trade	commerce forestier	Торговля лесной продукцией	comercio forestal
الوضع في تشاد	乍得局势	chad situation	situation au tchad	Положение в Чаде	situacion en el chad
التكنولوجيا النانوية	纳米技术	nanotechnology	nanotechnologie	Нанотехнология	nanotecnologia
اختبار العينات (الكيمياء)	抽样 (化	sampling (chemistry)	echantillonnage	Пробоотбор (в химии)	muestreo (quimica)
الطب الشرعي	法医学	forensic medicine	medecine legale	Судебная медицина	medicina forense
أنظمة الطاقة الكهربائية البخارية	热液电力系统	hydrothermal electric power systems	centrales hydrothermiques	Гидротепловые энергосистемы	sistemas de energia electrica hidrotermica
موظفو الطيران	飞行人员	aviation personnel	personnel d'aviation	Авиационный персонал	personal de aviacion
التنظيم الصناعي	工业组织	industrial organization	organisation industrielle	Организация промышленности	organizacion industrial
بحوث التربة	土壤研究	soil research	recherche pedologique	Почвоведческие исследования	investigacion sobre suelos
تكنولوجيا الطاقة	能源技术	energy technology	technologies energetiques	Энерготехника	tecnologia de la energia
اللوز الاسترالي	火山豆	macadamia nuts	noix de macadamia	Орехи макадамия	macadamia
المذهب النفعي	功利主义	utilitarianism	utilitarisme	Утилитаризм	utilitarismo
تداول المواد	材料搬运	materials handling	manutention des materiaux	Обработка материальных потоков	manejo de materiales
الاتصالات الشفهية	口头通报	oral communication	communication verbale	Устная коммуникация	comunicacion oral
الحقوق الأسرية	家庭权利	family rights	droits de la famille	Права семьи	derechos de la familia
برامج العمل الإيجابي	扶持行动方案 	affirmative action programmes	programmes d'action positive	Программы позитивных действий	proceso afirmativo
الطب البيطري	兽医学	veterinary medicine	medecine veterinaire	Ветеринария	medicina veterinaria
أقراص الفيديو الرقمية	dvd	dvds	dvd	dvd	dvds
مسألة حيدر أباد	海得拉巴问题	hyderabad question	question d'haiderabad	Хайдерабадский вопрос	cuestion de hiderabad
البرتقال	橘	oranges	oranges	Апельсины	naranjas
امتيازات اكتشاف النفط والغاز	石油和天然气矿区租借	oil and gas leases	concessions petrolieres et gazieres	Нефтегазовые концессии	concesiones petroleras y de gas
أعالي البحار	公海	high seas	haute mer	Открытое море	alta mar
التمويل التعويضي	补偿贷款	compensatory financing	financement compensatoire	Компенсационное финансирование	financiacion compensatoria
العقوبات	惩罚	penalties	penalites	Взыскания	penalidades
تمويل الصادرات	出口筹资	export financing	financement des exportations	Финансирование экспорта	financiacion de las exportaciones
المسافات	距离	distances	distances	Расстояния	distancias
اللغة الأوزبكية	乌孜别克语	uzbek language	langue ouzbek	Узбекский язык	lengua uzbek
